id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip, port
1,0,tcp,-,INT,1,0,66,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
2,0,tcp,-,INT,1,0,66,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
3,0,tcp,-,INT,1,0,66,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
4,0,tcp,-,INT,1,0,66,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
5,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
6,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
7,0,tcp,-,INT,1,0,266,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,266,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
8,0,tcp,-,INT,1,0,266,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,266,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
9,0,tcp,-,INT,1,0,1514,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1514,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
10,0,tcp,-,INT,1,0,1514,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1514,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
11,0,tcp,-,INT,1,0,1369,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1369,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
12,0,tcp,-,INT,1,0,1369,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1369,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
13,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
14,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
15,0,tcp,-,INT,1,0,212,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,212,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
16,0,tcp,-,INT,1,0,212,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,212,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
17,0,tcp,-,INT,1,0,105,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,105,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
18,0,tcp,-,INT,1,0,123,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,123,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
19,0,tcp,-,INT,1,0,123,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,123,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
20,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
21,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
22,0,tcp,-,INT,1,0,141,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,141,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
23,0,tcp,-,INT,1,0,937,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,937,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
24,0,tcp,-,INT,1,0,92,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,92,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
25,0,tcp,-,INT,1,0,141,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,141,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
26,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
27,0,tcp,-,INT,1,0,937,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,937,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
28,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
29,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
30,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
31,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
32,0,tcp,-,INT,1,0,708,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,708,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
33,0,tcp,-,INT,1,0,92,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,92,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
34,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
35,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
36,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
37,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
38,0,tcp,-,INT,1,0,1494,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1494,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
39,0,tcp,-,INT,1,0,708,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,708,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
40,0,tcp,-,INT,1,0,60,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
41,0,tcp,-,INT,1,0,92,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,92,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
42,0,tcp,-,INT,1,0,60,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
43,0,tcp,-,INT,1,0,92,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,92,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
44,0,tcp,-,INT,1,0,60,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
45,0,tcp,-,INT,1,0,60,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
46,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
47,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
48,0,tcp,-,INT,1,0,339,0,0,103,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,339,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,62735
49,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
