City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
山东省-潍坊市,2.2927445526336228,0.2426164239814976,752900
山东省-泰安市,2.2984677931492734,0.1679528226579314,521200
山东省-德州市,2.2921523040137517,0.13309262243702769,413020
山东省-菏泽市,2.548001353782571,0.08187538983293785,254080
山东省-临沂市,2.3044141865200722,0.3447157569265072,1069740
山东省-淄博市,2.2963063877693273,0.17745897819977519,550700
山东省-聊城市,2.2655724206131485,0.14509293539900267,450260
山东省-枣庄市,2.1734151099358203,0.08849425203054705,274620
山东省-济南市,2.4929193969167103,0.12498499960879753,387860
山东省-威海市,2.2441434566761975,0.03065171237763322,95120
山东省-莱芜市,2.103800517149112,0.04697652050474528,145780
山东省-烟台市,2.318356628712019,0.16983471921265572,527040
山东省-济宁市,2.202098515948992,0.13824205855766034,429000
山东省-日照市,2.3554923660638503,0.0754112040644841,234020
山东省-青岛市,2.282220210644106,0.15507600993074233,481240
山东省-滨州市,2.2341045425017723,0.11701916350729319,363140
山东省-东营市,2.2080914020113953,0.05152658546240067,159900
山东省-聊城市,2.2305148588132138,0.15566286627987497,516800
山东省-德州市,2.281570605623906,0.12097607123190593,401640
山东省-烟台市,2.327836819038385,0.1674339669265807,555880
山东省-泰安市,2.346113381705822,0.15290382631253044,507640
山东省-淄博市,2.3539168966502473,0.10973509180163322,364320
山东省-济宁市,2.4030530901461766,0.16065082499813102,533360
山东省-菏泽市,2.431066420537527,0.06720491239234849,223120
山东省-日照市,2.335853862601267,0.07149407496167012,237360
山东省-潍坊市,2.350910321129651,0.23162080284810033,768980
山东省-滨州市,2.225801324444563,0.12842186468089684,426360
山东省-枣庄市,2.3542772902184486,0.09446398630552319,313620
山东省-济南市,2.413716803943211,0.13022909610055483,432360
山东省-青岛市,2.28672107612164,0.1677893891057801,557060
山东省-临沂市,2.3109383259932637,0.3092895851602686,1026840
山东省-莱芜市,2.2908404844986916,0.03892174067470094,129220
山东省-威海市,2.2360294742633675,0.03249402092545068,107880
山东省-东营市,2.2023790817703977,0.05173501144007609,171760
山东省-临沂市,2.389224270843707,0.3588388971595875,1084380
山东省-泰安市,2.295895976266023,0.15598727322809933,471380
山东省-济南市,2.415884058508166,0.1293617566513823,390920
山东省-德州市,2.3082157661446803,0.1447030311790557,437280
山东省-聊城市,2.3055405346137157,0.186113883085722,562420
山东省-滨州市,2.3223222788950726,0.14040112072047603,424280
山东省-济宁市,2.197858932924556,0.14563621483237837,440100
山东省-青岛市,2.3077331611056437,0.17608712255534012,532120
山东省-潍坊市,2.248083749420874,0.25143012049452645,759800
山东省-淄博市,2.350954982144255,0.14198290010447687,429060
山东省-枣庄市,2.245074719195852,0.09681945861317261,292580
山东省-烟台市,2.281789354026342,0.16525954484728417,499400
山东省-威海市,2.164720467952248,0.03392552770873763,102520
山东省-日照市,2.2258793801299954,0.06581261169248673,198880
山东省-东营市,2.3245977454294473,0.06507797775263698,196660
山东省-菏泽市,2.3889116260919088,0.05885013507337008,177840
山东省-莱芜市,2.1560981274242286,0.04295953967175497,129820
山东省-潍坊市,1.986843139670945,0.23156201424443057,742140
山东省-聊城市,2.0858458190812965,0.1599473411242892,512620
山东省-莱芜市,2.068482640460983,0.0357386923108269,114540
山东省-枣庄市,1.972725331983659,0.07720605924036152,247440
山东省-临沂市,2.075739470758256,0.31357317093185627,1004980
山东省-滨州市,1.9555068247208753,0.10586815349278478,339300
山东省-日照市,2.0368337675366153,0.045305204500891094,145200
山东省-菏泽市,2.351335610070148,0.060949852942176766,195340
山东省-泰安市,1.9375529248245706,0.1231727446885108,394760
山东省-德州市,2.0213898825898293,0.10599296121868254,339700
山东省-青岛市,2.2604707487534723,0.15884903313638882,509100
山东省-淄博市,1.9492391869645256,0.1319716893643037,422960
山东省-济宁市,2.084735012025512,0.12711666882688039,407400
山东省-威海市,1.916716186961402,0.025211160631349865,80800
山东省-济南市,2.267218735268125,0.12231781176611108,392020
山东省-东营市,2.217610017671036,0.04811961871988585,154220
山东省-烟台市,1.8891339652404369,0.12997476574993935,416560
山东省-德州市,1.9206678426598522,0.11689433594700703,357340
山东省-青岛市,2.082578377467687,0.13936772509896142,426040
山东省-临沂市,2.0971512842036253,0.2901258928510677,886900
山东省-济宁市,2.0111672888296392,0.1274996820358915,389760
山东省-滨州市,2.056290231054266,0.09555933681323024,292120
山东省-聊城市,1.9887468415269633,0.127558564278211,389940
山东省-东营市,2.2504986037800805,0.05498947185507327,168100
山东省-泰安市,2.017158053367323,0.11390442653144861,348200
山东省-潍坊市,1.958103505624146,0.19652929744848852,600780
山东省-淄博市,1.9608300983402445,0.11051542636239116,337840
山东省-枣庄市,1.94687656402197,0.06670049560529114,203900
山东省-烟台市,1.9239952475218023,0.1341926302462115,410220
山东省-菏泽市,2.305965240874676,0.06637991450821813,202920
山东省-济南市,2.231146683105916,0.13071203547799035,399580
山东省-日照市,2.0898682598314373,0.06486206115064799,198280
山东省-莱芜市,1.8629771995391557,0.020065759688222454,61340
山东省-威海市,1.95617873048892,0.030101910768018096,92020
山东省-泰安市,2.063378654299774,0.08719053637111841,286120
山东省-济南市,2.2373526579914222,0.09638131847985927,316280
山东省-德州市,2.003419992848239,0.10658381798253312,349760
山东省-滨州市,1.9651916625387307,0.09401658143861825,308520
山东省-济宁市,2.048285105377267,0.1341074068439878,440080
山东省-聊城市,1.9581237192095091,0.13009101068373569,426900
山东省-枣庄市,2.0620058001577597,0.07302649285605627,239640
山东省-潍坊市,2.1620773640799675,0.1940668991422587,636840
山东省-临沂市,1.9429629422133594,0.2740413307277344,899280
山东省-莱芜市,1.9635737375229576,0.020526892667267357,67360
山东省-菏泽市,2.0547640639983102,0.052207055400181765,171320
山东省-淄博市,2.096129342701239,0.10905216463640584,357860
山东省-青岛市,1.958446174508086,0.12962781476844104,425380
山东省-东营市,2.0163438429415894,0.03767733089936069,123640
山东省-日照市,2.1197971409716354,0.04660604163497432,152940
山东省-烟台市,2.009471136629779,0.11701182075975831,383980
山东省-威海市,1.8825053627383872,0.03139980731049924,103040
山东省-临沂市,2.084810619210531,0.2978997119304701,949140
山东省-菏泽市,2.6002491514440083,0.05213888377466938,166120
山东省-威海市,1.9879853227702187,0.03653990397933427,116420
山东省-烟台市,1.9678288485317443,0.13007728745228736,414440
山东省-聊城市,1.9820153539141547,0.13673745548562763,435660
山东省-淄博市,2.000044614810436,0.12527518703239549,399140
山东省-德州市,1.9474410679300738,0.07575391878072599,241360
山东省-济宁市,2.1509995527867964,0.13540040007459891,431400
山东省-枣庄市,1.9558482023418118,0.08972081215884294,285860
山东省-济南市,1.998976583886714,0.08390807361136594,267340
山东省-潍坊市,1.9756979083363329,0.1747525144959091,556780
山东省-滨州市,1.923318042853893,0.10591613122200776,337460
山东省-日照市,1.8752953825916663,0.05839730745915594,186060
山东省-青岛市,2.0742330579061123,0.13086194438364224,416940
山东省-莱芜市,2.0089998915183713,0.02325723144535878,74100
山东省-泰安市,1.9840898000865124,0.12019061011721582,382940
山东省-东营市,2.02960337002851,0.044625009000015,142180
山东省-济南市,2.4095916111319124,0.12074235510405001,400600
山东省-菏泽市,2.5543509623150804,0.058158873791506464,192960
山东省-烟台市,2.2266437632854483,0.15322765473738628,508380
山东省-泰安市,2.3341478519676633,0.15084656485889902,500480
山东省-临沂市,2.321030284596038,0.34536653774220355,1145860
山东省-枣庄市,2.3289112044067406,0.10138017614278148,336360
山东省-滨州市,2.279971857852146,0.12091716929766047,401180
山东省-潍坊市,2.2663035903389135,0.20758884087459661,688740
山东省-济宁市,2.439877965476591,0.14894772103175097,494180
山东省-青岛市,2.428163906641799,0.1657117993914296,549800
山东省-淄博市,2.3418050150281093,0.10674516346392998,354160
山东省-德州市,2.349736673360731,0.15268512792962968,506580
山东省-东营市,2.228945479362238,0.05404772620383986,179320
山东省-聊城市,2.2348786848083297,0.13205705308359578,438140
山东省-莱芜市,2.3979331343548758,0.04521659538869092,150020
山东省-威海市,2.315841407536014,0.031725762102477045,105260
山东省-日照市,2.2110950583384468,0.05659760220029583,187780
山东省-德州市,2.3205392955748185,0.14616977908088136,462980
山东省-济宁市,2.346434272406002,0.14500794749632556,459300
山东省-泰安市,2.3306812355155944,0.14439546019359775,457360
山东省-临沂市,2.356022440314937,0.37294793864241116,1181280
山东省-烟台市,2.3080766329991187,0.16126727537801674,510800
山东省-青岛市,2.284405276637635,0.175019825329987,554360
山东省-淄博市,2.3280155981296753,0.11951710995908774,378560
山东省-潍坊市,2.3298538308100754,0.2101652307627999,665680
山东省-东营市,2.2317385848112785,0.053362166962397005,169020
山东省-济南市,2.331822635342375,0.12976522225112067,411020
山东省-威海市,2.28332867551293,0.03237974111740289,102560
山东省-聊城市,2.357741352713542,0.18725062847827276,593100
山东省-枣庄市,2.291820742499718,0.11699770342518685,370580
山东省-菏泽市,2.4543986448051727,0.07092855537671347,224660
山东省-莱芜市,2.2071263272577357,0.03327005771208967,105380
山东省-滨州市,2.305758931757701,0.1375002423113427,435520
