Rank,scrIP,Location_src,dstIP,Location_dst
1,223.89.5.76,中国河南省濮阳市,118.184.169.48,中国江苏省常州市
2,181.238.28.211,阿根廷,118.184.169.48,中国江苏省常州市
3,106.44.168.86,中国陕西省渭南市,118.184.169.48,中国江苏省常州市
4,101.75.193.103,中国河北省廊坊市,118.184.169.48,中国江苏省常州市
5,112.38.185.249,中国山东省莱芜市,118.184.169.48,中国江苏省常州市
6,61.160.239.10,中国江苏省常州市,114.219.148.140,中国江苏省苏州市
7,61.160.239.10,中国江苏省常州市,49.65.160.221,中国江苏省南京市
8,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
9,223.81.117.86,中国山东省青岛市,118.184.169.48,中国江苏省常州市
10,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
11,61.160.239.10,中国江苏省常州市,61.160.232.91,中国江苏省常州市
12,61.160.239.10,中国江苏省常州市,45.251.103.178,中国贵州省贵阳市
13,61.160.239.10,中国江苏省常州市,58.216.66.220,中国江苏省常州市
14,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
15,61.160.239.10,中国江苏省常州市,61.147.106.104,中国江苏省扬州市
16,61.160.239.10,中国江苏省常州市,58.216.12.163,中国江苏省常州市
17,61.160.239.10,中国江苏省常州市,58.216.20.18,中国江苏省常州市
18,61.160.239.10,中国江苏省常州市,61.54.184.110,中国河南省濮阳市
19,61.160.239.10,中国江苏省常州市,180.117.97.85,中国江苏省盐城市
20,45.224.40.200,巴西,118.184.169.48,中国江苏省常州市
21,61.160.239.10,中国江苏省常州市,60.209.34.168,中国山东省青岛市
22,183.200.111.226,中国山西省运城市,118.184.169.48,中国江苏省常州市
23,175.23.84.138,中国吉林省白城市,118.184.169.48,中国江苏省常州市
24,36.142.86.56,中国吉林省白城市,118.184.169.48,中国江苏省常州市
25,61.160.239.10,中国江苏省常州市,58.216.66.226,中国江苏省常州市
26,117.92.95.254,中国江苏省连云港市,118.184.169.32,中国江苏省常州市
27,61.160.239.10,中国江苏省常州市,61.146.76.23,中国广东省阳江市
28,117.93.162.203,中国江苏省盐城市,118.184.169.48,中国江苏省常州市
29,61.160.239.10,中国江苏省常州市,188.191.29.55,中国江苏省常州市
30,61.160.239.10,中国江苏省常州市,114.222.238.205,中国江苏省南京市
31,183.253.109.123,中国福建省莆田市,118.184.169.48,中国江苏省常州市
32,61.160.239.10,中国江苏省常州市,61.146.76.23,中国广东省阳江市
33,61.160.239.10,中国江苏省常州市,58.216.95.85,中国江苏省常州市
34,61.160.239.10,中国江苏省常州市,117.92.95.254,中国江苏省连云港市
35,61.160.239.10,中国江苏省常州市,1.194.195.70,中国河南省安阳市
36,61.160.239.10,中国江苏省常州市,61.160.232.108,中国江苏省常州市
