id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip,sport,dsport,stime,ltime
1,0.201886,tcp,smtp,FIN,52,42,37552,3380,90909.0902,31,29,1459437.5,130766.8672,18,8,3.943843,4.912488,456.043567,15.530109,255,1422136554,3572668484,255,0.00059,0.000473,0.000117,722,80,0,0,2,0,7,1,1,3,0,0,0,4,2,0,Normal_0,0,59.166.0.9,149.171.126.7,7045,25,1424250009,1424250009
2,5.864748,tcp,http,FIN,364,746,19410,1087890,125000.0003,31,29,26404.54492,1481982.875,2,370,16.155447,7.871279,1031.366423,690.219581,255,389619597,394688654,255,0.000771,0.000638,0.000133,53,1458,1,0,3,0,4,1,1,1,0,0,1,4,1,0,Normal_0,0,59.166.0.9,149.171.126.2,9685,80,1424250003,1424250009
3,0.001391,udp,dns,CON,2,2,146,178,200000.0051,31,29,419841.8438,511861.9688,0,0,0.009,0.002,0,0,0,0,0,0,0,0,0,73,89,0,0,3,0,2,1,1,4,0,0,0,7,5,0,Normal_0,0,59.166.0.2,149.171.126.4,1421,53,1424250009,1424250009
4,0.053948,tcp,smtp,FIN,54,42,37812,3380,166666.6608,31,29,5503373.5,489360.125,19,8,1.011547,1.302561,65.909688,3.155258,255,4047523379,1903327524,255,0.000674,0.00054,0.000134,700,80,0,0,1,0,4,1,1,3,0,0,0,7,1,0,Normal_0,0,59.166.0.2,149.171.126.2,21553,25,1424250009,1424250009
5,0.000953,udp,dns,CON,2,2,146,178,100000.0025,31,29,612801.6875,747114.375,0,0,0.009,0.004,0,0,0,0,0,0,0,0,0,73,89,0,0,2,0,2,1,1,2,0,0,0,1,5,0,Normal_0,0,59.166.0.8,149.171.126.4,45212,53,1424250009,1424250009
6,8.633186,tcp,-,FIN,446,858,25056,1094788,333333.3215,31,29,23166.41797,1013311.125,38,390,19.443407,10.084887,7751.70264,5572.343447,255,497111133,526810925,255,0.000654,0.000516,0.000138,56,1276,0,0,9,0,2,2,1,6,0,0,0,3,7,0,Normal_0,0,59.166.0.0,149.171.126.8,59922,6881,1424250000,1424250009
7,0.189983,tcp,http,FIN,18,6,13304,268,166666.6608,254,252,529100,9432.422852,6,1,11.175471,35.431199,842.127346,66.237773,255,157871242,468891365,255,0.062013,0.007572,0.054441,739,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits_SOCKS,1,175.45.176.0,149.171.126.12,49582,80,1424250009,1424250009
8,0.000009,sctp,-,INT,2,0,440,0,35714.28522,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0, Fuzzers_TFTP ,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
9,0.000009,sctp,-,INT,2,0,440,0,0,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
10,0.000009,sctp,-,INT,2,0,440,0,0,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
